Node,GPU
hpc3-gpu-16-00,V100
hpc3-gpu-16-01,V100
hpc3-gpu-16-02,V100
hpc3-gpu-16-03,V100
hpc3-gpu-16-04,V100
hpc3-gpu-16-05,V100
hpc3-gpu-16-06,V100
hpc3-gpu-16-07,V100
hpc3-gpu-17-02,V100
hpc3-gpu-17-03,V100
hpc3-gpu-17-04,V100
hpc3-gpu-18-00,V100
hpc3-gpu-18-01,V100
hpc3-gpu-18-02,V100
hpc3-gpu-18-03,A30
hpc3-gpu-18-04,A30
hpc3-gpu-24-05,A30
hpc3-gpu-24-06,A30
hpc3-gpu-24-07,A30
hpc3-gpu-24-08,A30
hpc3-gpu-k54-00,A30
hpc3-gpu-k54-01,A30
hpc3-gpu-k54-02,A30
hpc3-gpu-k54-03,A30
hpc3-gpu-k54-04,A30
hpc3-gpu-k54-05,A30
hpc3-gpu-l54-00,A30
hpc3-gpu-l54-01,A30
hpc3-gpu-l54-02,A30
hpc3-gpu-l54-03,A100
hpc3-gpu-l54-04,A100
hpc3-gpu-l54-05,A100
hpc3-gpu-l54-06,A100
hpc3-gpu-l54-07,A30
hpc3-gpu-l54-08,A30
hpc3-gpu-l54-09,A30
